Tipo de Beca,Requisitos,Dónde aplicar
"Beca Socioeconomica
(Beca + Préstamo)","Para recibir una Beca Socioeconómica se requiere demostrar necesidad económica. Además el estudiante debe:
1. Completar la admisión al Tecnológico de Monterrey
2. Presentar la Prueba de Aptitud Académica y lograr un puntaje mínimo de 1,220 puntos.
3. Tener un promedio acumulado igual o mayor a 85/100, al momento de la admisión para quienes son de nuevo ingreso. Para estudiantes actuales, el acumulado de los semestres cursados.
4. Nacionalidad mexicana.
5. Contar con un obligado solidario mexicano, de máximo 65 años de edad. 
6. Evaluación de Buró de Crédito al responsable del pago de colegiatura.",https://tec.mx/es/profesional/becas#s-m-id-0
Préstamo Educativo,,.
Beca Al Talento Académico,.,.
Beca Al Talento Estudiantil,.,.
Beca Al Talento Emprendedor,.,.
Beca Al Talento Creativo,.,.
"Beca Al Talento 
Transformador",.,.
Líderes del Mañana,.,.
"Apoyos Educativos
Externos Y Para 
Estudiantes 
Internacionales",.,.
,,
